13858: 13939,13461,13876,14954,13947,14926
14497: 14189,13146,12904,15172,15067
14410: 13145,13262,13736,13737,13625,15717
28520: 15772,15237,15461,14238
15142: 13100,13121,13481,14737,13634
15732: 14836,15663,15800,14689,13661,15545
13003: 13543,14785,14946,13471
15441: 13416,15792,13839
14246: 
14933: 13460,14571,13046,15714,12943
15257: 14858,12962,14164,15527,14402,13492
14784: 14199
15344: 12949,14674
14860: 13356,15363,13934,13438
15576: 14674,13409
15141: 13037,15574
13104: 12929,15227,15750,13066,13685,15031
13657: 13754
13595: 15387,13193,15345,14659,15351,15340,15797
14121: 15266,14276,14386
14851: 15691,13847,15411,13772,13034,14929
14148: 15296,14892,13365,14055
13311: 14709,13975,14747
13329: 15365,15074,14203,14047,15709
12823: 13540,14978,15181,15517
13759: 15807,14640,13905,14894,14583,15778
13764: 
15326: 14734,15766,13959,12942,13034,15300
13790: 13845,14881,14285,15683,13766,14099
14050: 15223,13268,14417,13504,13134
15614: 14534,15352,14787,12856,14806,14520,13668
14185: 13094,13078,13157,15135,14942
14637: 14425,14031,15385
13209: 15494,14588,13550,15486,13765
15460: 14286,13704,15316,13421
14434: 15769
13483: 14092,15595,13142
15492: 14241,15471
14800: 13510,13062,14332,13042,14334,15243
12948: 15270,13673,15643,12980,15670,14535
13223: 15262
13260: 14500,13607,13415,15581,13072,13608
15140: 14891,15028,14755,13768,12893,13353
13236: 15047,15011,14094
14291: 15487,14020,15570,14236,13476
15291: 14932,14623,13509,13071,15114,15694
13666: 13045,13849,13257,14004,15383
14028: 14413,13321,14312,14849
13161: 15211,14203,14059,14047,13327
13373: 14720,14356,15761,15411,13045,13849
14663: 13812
13476: 14236,14291,14341,14018
13847: 14851,15411,14253,13772,15033,14356
14692: 14305,14470,13049,14319,13506,13688
13272: 14580,13397,14558,13533,14954
13134: 15473,13504,14050,15223,14131,14280
13953: 15651,13046,13696,15633,13621,15044
14276: 15612,15703,14386,14121
13303: 
15794: 14377,14920,13130,12979,14609,15483
14414: 13954,14438,13699,13747,15734,13507
15099: 
13034: 12942,14929,13772,15326,15766,14851
13917: 13845,14018,15537,13592
14064: 14472,13805,13823
14626: 13786,14698,13543,14785,13301,13198
14476: 13963,12903,13165,14313,13872,12897
14900: 13141,15611,13979,14458,14331,14230
14609: 15493,15183,15483,12979,14953,15794
13693: 15613,13605,12841,13757,13498
15456: 13067,13187,14928
14384: 15359
15533: 14442,15669,28661,13744,14631,15303
13850: 13804,13488,13471,15239,12950,14946
14997: 15534,12923,15640
13596: 
13877: 14297,15327,13630,15721
13117: 13778,15089
15149: 13916,14883,13512,13485,14207,15126
14336: 13244,14459,15153,14640,14583,13549,14959
14461: 15667,14718,14841,14943,13994,13413
14149: 13716,15510
14381: 13598,14844,15739
15605: 12901,15634,28659,15733,15679,15078
14963: 15751,14541,13384,13175,12899,15290
15385: 14375,14637
15148: 13943
15726: 
15412: 12980,15347,15720,14350,14724
15490: 14315,15009,15013,15577,15119
15640: 14093,13112,14997
13347: 13489,13252
15073: 13024,15774,15438,15593,13881,12853
13960: 
15102: 
13768: 14714,14755,13133,14803,15140,15028
15725: 14069,12952,15685,14716,15562,13228
14916: 14217,15719,13743,13286,13732
13087: 14926,13947
14515: 14951,15012,13129
13056: 
13598: 14381,13160
13874: 15789,15544,15061
13710: 15644,14783,15027,14887,13215,15062
15143: 14675,14326,14529
13309: 15020,14407,13092,13984
14564: 13959,12966,15565,14804,14734,15254
14310: 13664,13322
14899: 14126,15428,13015,14440
15575: 13021,15686,15781,15186,13521,14748
15255: 15176,14589
13588: 14494,14096,13463,13811,14038,14856
14528: 15390,13854,14013
13385: 
14788: 14625,14702,14481,14914,15457,14002
13121: 14811,13100,15142,13634
14229: 14211,14118,13261,13424,14469
14007: 13463,12913,13120
14511: 15348
14367: 14292,15404,14677
13789: 13345,13009,14059
14491: 13268,14417,14703,13904,15092
14523: 15221,14468,14268,14155,14843
13118: 15771,13655,15045,15079,13158,15232
15532: 14086,15623,14228,13445,13782
13428: 14443,15551,14086,13291,15629
12916: 12917,14723,14926,13456
13640: 13901,13962,14401,15156,14034,15442
13785: 15105,14989,15339,12888
15239: 13233,12950,14858,15527,13850,13804
15088: 
15437: 12997,15554,13268,13504
13170: 
13585: 13017,15285,13480,14774,15278
14469: 13424,12858,13261,14229,15183
14593: 15180,13503,15240,14369,14209,14302
14813: 12942,12991,15300,15199,14956,15521
12873: 14508,14274,15192,15718,15253
13436: 13684
13896: 14005,13848,13072,15494,13550,13541
14445: 15624,14672,13731,15466,13269,15728
14256: 15230,14453,12915,13224
13058: 15332,13990,13635,13991,13913,13143
13866: 15518,15295,14655,14812,12984,15615
13224: 15346,14256,12915
15529: 12818,15135,13680,13992,13894,13094
13897: 13859,15540,13405,14620,13837
13852: 
15193: 15301
14278: 14136
13063: 14204,12965,13778,14601
13867: 14969,13978,15590,14879
14736: 14655,14812,15609,13407
14040: 15185,15756,13885,15357,14195
14234: 14202,13443,14791,14591,13304
13719: 13348,12819,15252,12878,15406,14549
15388: 15620,13283,14422,15170,15436,13708
15376: 14212,15560,14537,14235,14875
14721: 15110,15603,13871,13956
14019: 
15584: 14774,15278,13177,15695,14567,13035
15284: 13711
14140: 14131,13891,14132,15223,13513
13755: 14337,14557,14541,14525,13175,13277,28607
13426: 14846,15224,13048,13105,14420,14635
13368: 14446,14930,13628
14647: 15070,14080,12956
14217: 14916,15719,15042,13286,14440,15775
13526: 13439,14766,13012,15229
12964: 15447,14027,15079,15371,13247,15045
14544: 
12848: 
14864: 13578,14320
13189: 13288,14962
14401: 13901,13640,15593,15442,13881,15667
13250: 13245,14780
13359: 13004,13377,15026,14855
14372: 15674,13728,14875,13211,14543
15772: 14844,15237,28520,13160
12942: 12991,14813,13034,15300,14929,15326
14039: 13446,15043,14482,15169,13249
14577: 14990
13993: 13033,14779,13531,15485
28607: 14266,13532,14210,13755,14557,14541
14379: 13560,13485,14207,14017
14331: 14908,15579,15611,14900,14230,14799
13776: 15250,14856,15245,14335,13372,15198
14286: 15093,15460,15316,13421,15682
13475: 13756,14702,13752,15447,14876,15423
14688: 14618,13497,13392
14212: 15011,14949,15376,13728,14875
15682: 13914,14770,14286,12902,14262
13163: 14512,15144,13619,15563,15617
14002: 12903,12969,14788,14914,14885,15457
13546: 15769,13834,14090
15213: 13825,13185,15745,14206
15120: 14280,13212,14553,13577
15636: 15021
13796: 15059,15068,14897,15743,13126,15018
14988: 13086,15127,13106
13674: 13233,12950,14898,15800,14852,14689
15524: 15168,13531,14307,15485,14696
13978: 15590,13867
15025: 15734,14219,14262,13050,14610,13576
12961: 13832,15657,15084,14796
12827: 13882,15452,14083,13255,14670
15509: 14561,13606,14994,14429,14111,13162
14474: 13937,13559
13407: 13184,14308,14736,14812,15609,14676
13454: 14191,14068,15401,12819,14147,14758
13459: 13869,15279,14725,13405,15019
13062: 14332,14800,14334,14406,14173,15426
13317: 14206,14556,15101,14116,15150
13760: 13474
13607: 14500,13260,13608,13230,13110,14409
13739: 15360,13043,15042,12835,15680
15415: 13908,14216,15060,13614,13304
13926: 15414,12886,13402,14238,13060,14157
15716: 
15041: 13601,14493,13670,12982,14861,28667
15158: 14098,13620,14669,15251,14321
14513: 13564,15689,13336,14418,13613
13704: 15590,15316,14879,15460
15268: 13854,13623
13273: 15758,13066,13507,14597,13973,15031
13179: 13937,12883,15481
15582: 
13166: 12892,15568,15416,13918,15580,13636
14008: 15064,14917,14760,14368,14924
14610: 14078,14479,13050,15734,15025,13699
13235: 15572,13751,15548,15417,13653,13536
13356: 14860
13821: 15597,14797,14301,13344,14569
14590: 15245,14680,13813,14360,14335
15128: 14129,14905,13419,14554
13774: 15277,14460,14081,14108,15188
13934: 13364,14860,13438
13132: 13187,14361,14741,14645
13505: 13038,14100
15558: 15109,15410,13435,13271,14659,15797
13148: 15280,14944
15473: 14127,15389,13504,13134,14280
13629: 13991,12882,13913,12996,14200,14025
14289: 15308,15501,15194,13228,13068,14422
14374: 14928
13842: 14399,14237
15160: 13050,12902,13889,14839,14479
15383: 13358,13666,13257,14004
15771: 13118,13655,13360,15232,13733,12975
13434: 13844,15206,14972,14510,15068,14897
14962: 13189,13288,14546,15530
13372: 14453,15198,15196,13776,15230
13972: 14088,13116,13330,13602,13320
14708: 13688,14507,14305,15137,13445,15318
15374: 15782,14396,13761,14259,15332,14169
14001: 15610
14295: 15104,14463,14346,13976
14620: 13405,15019,14600,13705,13897,13837
13920: 13399,14608,15612,12826,15712,14249
14480: 15737,14180,12904
14487: 13665,15200,13516,15065,15608,13860
14943: 15667,14461,12845,13403,13901
15485: 12990,14696,13993,15524
13923: 14268,15298,12974
15438: 15002,15593,13971,13900,15073,12853
15369: 13128
13798: 15498,13537,15416,13918,15581,14500
13128: 15369
12941: 13907,12945,13162,13606,14974,15811
15252: 14547,15653,15699,13348,13719,14549
15712: 14249,14496,13920,12826,15789
15108: 
15335: 13561,13556
13455: 15403,14424,13817,13365,15505,15296
14257: 13047,12860,14364,14853,15122
14415: 14232
13363: 12839
12918: 14967,15618
14518: 14348,13982,14168,15049,14244
13495: 14767,12959,14299,12897,15306,13872
14834: 14837,13203,15356
14131: 14140,13891,15223,13134,14280,13212
12978: 15342,15226,12967,13196,14014
15265: 13419
14560: 13306,13083,14723,15394,15776,13533
14454: 14939,15204,13123,13868,15475,13969
14785: 13003,13543,14946,13301,14852,14626
14820: 15544,13375,14810,14884
14083: 15216,14823,13255,12827
12821: 14727,14824,13968,15497,13922,15022
12878: 14524,15406,14549,14138,13719,14328
14941: 
13205: 14866,13679
13534: 14253,14499,13642,14794,15033,14338
13300: 14024,14492,14779
15199: 12914,14678,13862,14813,15300,15521
13861: 
13758: 15664,15050
14242: 13927
13316: 13114,14763,15495,15162,12999
14038: 15250,14856,13588,13120
15163: 14378,14318,14996,14011
12828: 13553,13800,14743,14241
15402: 15066,12839
13456: 12916,12917
13204: 13302,14272,14449,15156,13962
15626: 13326,12967,14175,15144,13619,14014
15466: 13731,13183,14445,15728
13176: 12956,14317
13164: 14815,15433,15323,15729,14337
13820: 14921,14818,15166,12986,14607
15277: 13774,14460,13586,14108
12999: 14613,15162,14250,13316
15601: 14854,14304,13337
13540: 12823,14978
13551: 14952,14398
14581: 15478,12893,14908,15579,15000
13197: 13663,13895,14791,13945,13951
13594: 12965,15606,14714,14755,14204
14101: 13156,15350,13961
13699: 14414,14438,14610,14078,14795,15734
13086: 14988,14615,14133
14703: 13532,13904,15377,15092,15459,14491
14855: 15026,14056,15767,13004,13359,14917
13490: 
15190: 14157,14896,13734
14076: 14673,15246,14741,12882,14645,15283
13541: 14344,13608,13896,13072,15179
14228: 15159,15623,14086,15532,13291,14925
12857: 14555,14831,15617
13180: 15543,13167
13357: 
14472: 13037,13206,14064,14107,13823
15414: 12886,13926,14238,15237,15495,13114
13111: 13501,13662,12953,15314
14555: 12857,14999,14512,14709
13389: 12930,13919,14258
14892: 15806,14838,14055,14148
15685: 13844,15206,14069,15725,15308,13228
13967: 15523,13362
13435: 15410,15558,14719,12993,13271
14506: 14950,15616,14960,13601,14580,15630
14905: 15128
13254: 
14267: 13643,15361,13734,14763,15748,15005
14902: 
13200: 15502,14809
13282: 14790,14676,14744,14578,12896,14551
13031: 14102,13685,15233,13683,13486,14275
14277: 15684,14127,15389
13752: 14625,14702,15331,13475,15585,13756
14956: 14846,15224,12991,14813,15521
13269: 13469,15740,15728,15624,14445,14084
13987: 14539,13070,15095
13891: 14131,14140,13513,13212,13005
13898: 12833
15743: 15059,13796,13126,13980,15417,13653
14146: 15267,14746,13431,13108,15191,14437
15634: 15023,12919,12901,15605,28659,15161
14072: 13431,15606,13032,13496,14714
14129: 15128,13419
13076: 14565,13312,14091,15639,12862,14777
14465: 12847,12862,13275,13658,14091,13675
14068: 14191,13454,14758,14995,13964,13887
15200: 13665,14487,13184,13171,15608
15454: 14773,14062,15422
13973: 14597,15783,15320,13747,13507,13273
14974: 13090,15811,12941,13907,13721,14786
13451: 
13612: 13341,15404,14190,14923
13663: 13197,14791,14395,15174
13313: 13642,15484,13683,13690,14794,13486
14938: 15424,15315,14448,13266
14772: 15353,12817,14657,14742
12974: 15123,13923,14268,14468
15364: 13936,15753,13299
14499: 14253,13534,13465,13642,15373
13098: 13549,14807,13080,14847,15730,13425
14883: 15149,13916,14369,13512,14209,13539
13055: 15259,15561,13310,14536,14550,15475,28665
15315: 14938,14448
15027: 15644,13710,15496,13552,14240,14887
13107: 14281,14992,13457,14782,15069,13147
